"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(Counts)","(Counts)","(µm)","",""
"PSM","0","1","195.48074001881935","1144.4416947906252","490.2961671142386","0","144.17582417582418","114.36846820757252","0.0","520.0","120.0","13120.0","866.6813186813187","436.3401038211893","160.0","1867.0","906.0","78868.0","480.5824175824176","60.89299648364351","358.0","645.0","476.0","43733.0","400.12688629326664","465.8791128147602","9.952244804744074","130.6451612903226","795.2903225806451","469.258064516129","5.0","0","126"
"PSM","1","2","168.33452327773142","1046.7466331603418","486.6068799797393","1","172.24489795918367","169.35615258088438","0.0","1000.0","120.0","16880.0","885.3469387755102","413.26929145361566","53.0","1973.0","853.0","86764.0","481.2755102040816","57.85562917345724","371.0","635.0","473.0","47165.0","400.12688629326664","466.31458159822006","14.901802772968223","163.5483870967742","833.9354838709677","480.48387096774195","5.0","0","126"
"PSM","2","2","161.10745119163752","1138.9237987828235","472.43075348823004","2","123.63636363636364","90.36721621381157","0.0","400.0","120.0","12240.0","889.3232323232323","441.4796047310987","107.0","2133.0","853.0","88043.0","469.64646464646466","66.65434951150831","350.0","701.0","457.0","46495.0","405.74278823232186","467.43776198603115","14.901802772968223","125.0","822.3333333333334","465.8","5.0","0","126"
"PSM","3","2","130.1893661690434","1116.346884853937","447.3878365848296","3","112.24489795918367","81.1582470003822","0.0","360.0","120.0","11000.0","841.3265306122449","480.3618433285304","160.0","2240.0","800.0","82450.0","457.31632653061223","73.11544281558501","308.0","695.0","443.0","44817.0","408.2699441048967","467.99935217993664","14.901802772968223","110.66666666666667","768.1","447.8666666666667","5.0","0","126"
"PSM","4","2","127.06144708077048","1136.725106392987","483.482694023766","4","92.47311827956989","82.1405994248051","0.0","360.0","80.0","8600.0","817.0752688172043","476.5799179424876","53.0","1867.0","800.0","75988.0","485.2258064516129","76.6756478874625","335.0","885.0","484.0","45126.0","408.2699441048967","470.5265080525115","14.901802772968223","90.0","737.0689655172414","479.62068965517244","5.0","0","126"
"PSM","5","2","106.5628262864185","1031.0363376218384","497.6926225183345","5","86.66666666666667","76.4841458173098","0.0","320.0","80.0","8320.0","736.6875","438.24192579705993","107.0","1867.0","693.0","70722.0","484.40625","60.89552366661756","357.0","633.0","478.0","46503.0","407.14676371708566","468.5609423738422","14.901802772968223","78.4375","633.40625","465.0625","5.0","0","126"
"PSM","6","2","96.75088683619691","1108.946825672673","505.10971313929804","6","78.26086956521739","67.58972377273862","0.0","280.0","80.0","7200.0","830.0108695652174","435.53512606264076","160.0","1760.0","800.0","76361.0","495.94565217391306","72.26695992894813","324.0","696.0","495.0","45627.0","409.3931244927078","469.6841227616532","14.901802772968223","69.0","708.9333333333333","483.7","5.0","0","126"
"PSM","7","2","105.02840238459038","958.2032269298845","468.1420906935959","7","79.15789473684211","65.74714875938577","0.0","280.0","80.0","7520.0","725.2631578947369","418.4064808325602","107.0","1867.0","640.0","68900.0","470.4526315789474","64.15751368429154","343.0","665.0","455.0","44693.0","412.76266565614094","469.12253256774767","14.901802772968223","77.24137931034483","655.6896551724138","468.2758620689655","5.0","0","126"
"PSM","8","2","89.09823328963033","1057.7324775553766","465.9321340499452","8","78.3157894736842","67.51914829393351","0.0","360.0","80.0","7440.0","771.1894736842105","436.8949991857881","53.0","2080.0","693.0","73263.0","457.13684210526316","47.10459401327703","344.0","588.0","452.0","43428.0","412.76266565614094","469.12253256774767","14.901802772968223","79.65517241379311","711.2068965517242","457.3103448275862","5.0","0","126"
"PSM","9","2","75.9902801019538","1044.8551930590218","432.7546872256768","9","66.08695652173913","53.51299568440332","0.0","200.0","40.0","6080.0","744.8478260869565","437.51405465104796","107.0","2133.0","640.0","68526.0","434.3804347826087","56.285739296561914","324.0","650.0","428.0","39963.0","415.57061662566855","469.964917858606","14.901802772968223","63.666666666666664","673.3333333333334","434.4","5.0","0","126"
"PSM","10","2","72.70141232965793","1057.7467773889234","442.3020524895906","10","59.183673469387756","50.80127990488773","0.0","200.0","40.0","5800.0","743.3061224489796","453.1523129423658","53.0","2240.0","640.0","72844.0","442.8061224489796","55.31459384309072","310.0","591.0","443.0","43395.0","416.4130019165268","469.40332766470044","14.901802772968223","59.0625","660.4375","446.0625","5.0","0","126"
"PSM","11","2","74.88562089173062","1096.641321172669","390.1409121677501","11","56.56565656565657","51.11335174746853","0.0","200.0","40.0","5600.0","722.8686868686868","462.87305189732945","107.0","2027.0","587.0","71564.0","402.5959595959596","50.78042351221564","303.0","592.0","401.0","39857.0","416.4130019165268","471.3688933433698","14.901802772968223","50.90909090909091","648.5151515151515","412.0","5.0","0","126"
"PSM","12","2","61.090470937296786","1008.5366975878641","451.0752678018611","12","47.755102040816325","52.84738993730303","0.0","240.0","40.0","4680.0","720.9387755102041","421.9855085293741","53.0","1707.0","693.0","70652.0","450.92857142857144","70.59938523724047","319.0","658.0","444.0","44191.0","419.2209528860544","471.3688933433698","14.901802772968223","46.666666666666664","631.8787878787879","448.72727272727275","5.0","0","126"
"PSM","13","2","57.47026638270233","973.2515088441667","447.59597104304555","13","47.27272727272727","42.13240019946307","0.0","160.0","40.0","4680.0","659.3131313131313","409.31150869764184","53.0","1760.0","586.0","65272.0","449.020202020202","57.70650226829212","305.0","576.0","443.0","44453.0","419.78254307995996","470.80730314946425","14.901802772968223","45.88235294117647","597.3235294117648","448.02941176470586","5.0","0","126"
"PSM","14","2","64.17424256918869","969.9896097389899","446.10769990083577","14","50.989010989010985","46.97647035260065","0.0","160.0","40.0","4640.0","692.6373626373627","388.17643515641805","53.0","1760.0","693.0","63030.0","451.38461538461536","70.87983089250726","320.0","641.0","446.0","41076.0","420.0633381769127","469.964917858606","14.901802772968223","51.0","628.9333333333333","452.76666666666665","5.0","0","126"
"PSM","15","2","55.70679266693747","942.092352994031","429.1802902121693","15","43.87096774193548","42.14447867454227","0.0","160.0","40.0","4080.0","633.5591397849462","371.4096373912207","0.0","1546.0","533.0","58921.0","426.10752688172045","60.219248397110164","291.0","612.0","426.0","39628.0","421.4673136616765","469.6841227616532","14.901802772968223","41.29032258064516","556.5483870967741","426.1290322580645","5.0","0","126"
"PSM","16","2","51.15000757157939","920.896780752595","456.1764819612149","16","43.956043956043956","45.43320178213091","0.0","160.0","40.0","4000.0","656.9010989010989","423.6296352802386","0.0","1920.0","586.0","59778.0","453.84615384615387","57.08160300577938","349.0","592.0","449.0","41300.0","422.8712891464403","468.84173747079495","14.901802772968223","44.0","589.4666666666667","448.1","5.0","0","126"
"PSM","17","2","59.19356407023287","882.131188440719","412.84738586081926","17","52.30769230769231","46.45372663144173","0.0","200.0","40.0","4760.0","631.065934065934","349.2803013880528","53.0","1546.0","587.0","57427.0","421.65934065934067","55.07453934446373","290.0","567.0","430.0","38371.0","422.8712891464403","468.84173747079495","14.901802772968223","47.0","549.2666666666667","425.0","5.0","0","126"
"PSM","18","2","55.95037792892416","841.8491552392226","438.0870573197539","18","46.08695652173913","41.90403798474153","0.0","200.0","40.0","4240.0","628.9021739130435","333.82508612608837","53.0","1546.0","640.0","57859.0","437.6521739130435","49.40401611619223","319.0","599.0","432.0","40264.0","424.2752646312041","468.84173747079495","14.901802772968223","43.0","572.0333333333333","438.26666666666665","5.0","0","126"
"PSM","19","2","49.76010051816705","902.5912400612348","464.37057099785164","19","40.0","40.65399430249447","0.0","160.0","40.0","3680.0","647.4130434782609","412.677804561196","0.0","1653.0","534.0","59562.0","452.14130434782606","55.99952541434282","325.0","570.0","457.0","41597.0","424.2752646312041","468.84173747079495","14.901802772968223","41.333333333333336","588.0","447.4","5.0","0","126"
