"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","75.64130034405474","770.7273138006396","437.9064592214038","0","69.18085106382979","69.4616723844934","0.0","267.0","53.0","6503.0","623.1702127659574","293.0279313743753","71.0","1707.0","569.0","58578.0","438.1489361702128","55.30656642007962","314.0","621.0","438.0","41186.0","351.3337772774231","435.16577218726","10.220689563174105","68.5","588.4","436.1666666666667","5.0","0","126"
"PSM","1","2","75.3795346084093","753.5208861225574","420.126523945323","1","65.08421052631579","58.38566990424936","0.0","267.0","53.0","6183.0","587.421052631579","300.90086651082487","71.0","1422.0","498.0","55805.0","414.94736842105266","52.19834684368736","316.0","545.0","410.0","39420.0","350.03944438225165","434.73432788886953","10.220689563174105","67.53125","559.375","413.90625","5.0","0","126"
"PSM","2","2","48.632115493627566","839.4989062346804","403.5269196268671","2","56.59183673469388","61.73335356987645","0.0","320.0","53.0","5546.0","602.8367346938776","324.6672743733525","71.0","1706.0","569.0","59078.0","404.57142857142856","43.908527222927866","275.0","545.0","405.0","39648.0","349.17655578547067","433.0085506953076","10.220689563174105","53.833333333333336","553.3333333333334","405.6333333333333","5.0","0","126"
"PSM","3","2","51.22179052111293","724.8758848444193","383.3229697100953","3","53.260416666666664","55.82646887626856","0.0","213.0","53.0","5113.0","584.1666666666666","293.8458839404967","142.0","1422.0","498.0","56080.0","389.6145833333333","40.178645753203334","317.0","488.0","388.0","37403.0","349.17655578547067","431.2827735017456","10.220689563174105","50.875","529.90625","396.125","5.0","0","126"
"PSM","4","2","56.58499022721145","744.7355735285919","395.755196215767","4","47.66315789473684","51.332170354718755","0.0","213.0","53.0","4528.0","565.7157894736843","301.40076039230837","0.0","1635.0","569.0","53743.0","400.11578947368423","42.10848783844313","322.0","557.0","394.0","38011.0","347.4507785919087","431.2827735017456","10.220689563174105","51.13333333333333","534.4","398.8666666666667","5.0","0","126"
"PSM","5","2","53.96274818479271","701.7743796200292","366.3024976857383","5","49.88421052631579","50.343049375070045","0.0","213.0","53.0","4739.0","531.2526315789473","321.35007650307637","0.0","1280.0","427.0","50469.0","369.0736842105263","33.90513740814471","302.0","479.0","364.0","35062.0","347.4507785919087","431.2827735017456","10.220689563174105","51.56666666666667","521.4","370.26666666666665","5.0","0","126"
"PSM","6","2","62.67097844628009","776.5998876129214","358.28283504810213","6","49.927083333333336","55.20855097606885","0.0","267.0","53.0","4793.0","622.8020833333334","319.69816751336475","71.0","1422.0","569.0","59789.0","359.5729166666667","42.34463733937875","253.0","461.0","362.0","34519.0","346.15644569673725","431.2827735017456","10.220689563174105","51.71875","589.875","359.9375","5.0","0","126"
"PSM","7","2","46.00361293980678","751.2353068603817","371.99773677100603","7","36.020833333333336","45.4400655963821","0.0","213.0","0.0","3458.0","561.9791666666666","272.8563909600053","71.0","1493.0","498.0","53950.0","374.6770833333333","50.95353813275006","258.0","533.0","375.0","35969.0","343.13633560800383","431.2827735017456","10.220689563174105","38.71875","517.0625","371.375","5.0","0","126"
