"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","179.76093896624843","769.9071459788352","402.03872845497074","0","153.11827956989248","103.94373995228771","0.0","480.0","120.0","14240.0","653.0645161290323","467.0921565911251","53.0","2240.0","480.0","60735.0","407.4193548387097","58.20546862486474","287.0","559.0","406.0","37890.0","321.73619366560837","376.3666518549119","16.12484944666683","141.66666666666666","579.1666666666666","410.6333333333333","5.0","0","124"
"PSM","1","2","180.3548850956296","861.9563610577103","428.966055284537","1","153.91304347826087","103.21168391286889","0.0","480.0","160.0","14160.0","712.945652173913","439.49629920382233","53.0","2133.0","640.0","65591.0","438.0869565217391","55.943388216490305","315.0","600.0","430.0","40304.0","321.73619366560837","377.93648071969966","16.12484944666683","145.17241379310346","660.6551724137931","438.7586206896552","5.0","0","124"
"PSM","2","2","219.33628022416545","1090.6407022859848","420.7432266840187","2","166.95652173913044","112.29610710654775","0.0","520.0","160.0","15360.0","790.5978260869565","521.210447884761","53.0","2027.0","640.0","72735.0","427.94565217391306","49.391987633898054","300.0","545.0","425.0","39371.0","321.73619366560837","377.93648071969966","16.12484944666683","156.20689655172413","731.4827586206897","425.41379310344826","5.0","0","124"
"PSM","3","2","176.02835356499847","841.5320556144037","440.5708944577608","3","159.56521739130434","88.0548410969639","0.0","440.0","160.0","14680.0","638.6847826086956","482.22517491969035","0.0","1973.0","479.0","58759.0","445.0978260869565","55.77546425449623","352.0","705.0","448.0","40949.0","321.34373644941144","379.5063095844874","16.12484944666683","151.3793103448276","627.1034482758621","445.8965517241379","5.0","0","124"
"PSM","4","2","203.80067720190772","933.6698140621382","435.4289611341085","4","167.3913043478261","95.7890260205849","0.0","440.0","160.0","15400.0","719.304347826087","508.27899103557434","0.0","2240.0","693.0","66176.0","436.8152173913044","41.50491281600661","325.0","575.0","435.0","40187.0","319.7739075846236","379.5063095844874","16.12484944666683","165.86206896551724","682.8620689655172","438.86206896551727","5.0","0","124"
"PSM","5","2","140.36674778591424","811.1084692434401","462.2910000300679","5","140.8695652173913","85.62186449108526","0.0","400.0","120.0","12960.0","635.9347826086956","505.4833135874387","0.0","2507.0","427.0","58506.0","460.14130434782606","59.10050696529351","339.0","605.0","464.0","42333.0","319.7739075846236","379.5063095844874","16.12484944666683","137.93103448275863","620.8275862068965","456.7241379310345","5.0","0","124"
"PSM","6","2","174.73435331057306","814.9904897285667","494.59118756481377","6","135.48387096774192","93.62873175975248","0.0","400.0","120.0","12600.0","649.6774193548387","463.8883664738636","0.0","2080.0","480.0","60420.0","488.60215053763443","63.871497995541674","329.0","628.0","495.0","45440.0","317.419164287442","381.07613844927516","16.12484944666683","123.66666666666667","580.9666666666667","484.96666666666664","5.0","0","124"
"PSM","7","2","128.50314230991393","869.3533853526501","467.51234318811504","7","111.82795698924731","77.02267080935864","0.0","440.0","80.0","10400.0","641.6344086021505","517.1398092212976","0.0","2346.0","374.0","59672.0","456.03225806451616","55.668360308266124","311.0","588.0","451.0","42411.0","317.419164287442","381.07613844927516","16.12484944666683","108.33333333333333","566.6666666666666","451.46666666666664","5.0","0","124"
