Label,ID,Spot N links,Spot center intensity,Spot center intensity,Spot frame,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot position,Spot position,Spot position,Spot quick mean,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,Center ch1,Center ch2, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,Mean ch2,Std ch2,Min ch2,Max ch2,Median ch2,Sum ch2,X,Y,Z,Mean ch1,Mean ch2, , , 
,,,(Counts),(Counts),,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(µm),(µm),(µm),(Counts),(Counts),(µm),,
NT,0,2,192.4468731,991.5417878,31,182.6219512,79.35163814,0,347,186,14975,807.0609756,467.6180078,26,1787,906,66179,300.7196466,184.0662473,19.66290476,172.7307692,714.4615385,5,0,80
NT,1,2,190.0365176,1090.221278,32,172.7894737,73.95788275,26,373,160,13132,943.75,417.3181081,80,2106,987,71725,299.4698794,182.2658728,19.99572999,168.2916667,852.7916667,5,0,80
NT,2,1,220.8541237,1080.042448,25,211.0921053,86.66936062,106,507,187,16043,964.0921053,356.1566014,107,1813,1013,73271,303.5225433,192.1906393,20.27766229,208.3913043,892.2173913,5,0,80
NT,3,2,219.707999,1011.074329,26,200.5810811,95.22259527,0,453,213,14843,907.2702703,330.367139,80,1813,933,67138,302.6648819,183.0879887,19.65598548,190.6956522,785.3913043,5,0,80
NT,4,2,230.6530486,1002.678139,27,213.2571429,81.30434605,26,400,213,14928,968.2571429,267.8659997,106,1653,960,67778,302.5403986,184.1946916,19.8256188,196.0434783,835,5,0,80
NT,5,2,232.2065487,1026.596045,28,205.4,99.29140841,26,480,187,15405,875.64,469.2654594,80,2506,853,65673,302.3238251,182.1405776,20.09699943,200.9130435,787.5652174,5,0,80
NT,6,2,237.6341888,1128.379149,29,213.9210526,83.18874333,53,400,213,16258,967.5921053,438.3228392,26,2480,987,73537,301.5783251,182.6385545,19.96140963,211.2916667,853.375,5,0,80
NT,7,2,229.6593383,976.1287195,30,200.6081081,99.28039958,0,507,213,14845,792.6891892,462.028936,26,1920,853,58659,301.5045216,184.0790897,19.82931737,190.2083333,690.8333333,5,0,80
NT,8,2,176.6843922,985.3590807,33,165.4155844,72.73425868,0,400,160,12737,815.9220779,366.6697484,53,1760,827,62826,301.3353602,186.2302076,19.82931737,160.25,735.625,5,0,80
NT,9,2,142.4924346,1331.508732,34,142.25,71.32182929,0,320,133,10811,1098.065789,578.1501151,107,2720,1040,83453,298.3650216,194.4813688,19.99572999,138.0909091,980.2727273,5,0,80
NT,10,2,137.9376801,1352.762005,35,138.5263158,61.52126433,0,320,133,10528,1062.657895,689.6410961,26,3067,1014,80762,294.2655729,191.4646784,19.99572999,142.4545455,937.5909091,5,0,80
NT,11,2,141.2988846,1274.361731,36,147.0352941,74.74137107,26,400,133,12498,910.4352941,741.5217694,0,2933,667,77387,291.7299621,185.0019438,20.49496783,140.6818182,880.2272727,5,0,80
NT,13,2,127.1771296,1076.375056,37,130.275,61.85077489,26,293,133,10422,619.9,789.7063002,0,2880,239,49592,288.3006435,176.8515507,20.49496783,136.7142857,487.9642857,5,0,80
NT,14,2,134.435542,949.1601235,38,125.1973684,63.47493358,0,293,133,9515,720.9210526,465.5634225,26,1653,827,54790,289.3082025,172.4233979,19.97100993,121.125,598.3333333,5,0,80
NT,15,2,147.1022977,884.1287635,39,135.6666667,63.15589178,0,267,133,10582,705.4358974,390.9697098,0,1333,826,55024,285.4540201,168.8742396,19.75488178,130.0416667,608.3333333,5,0,80
NT,16,2,133.7947416,923.0509451,40,133.2278481,59.09400364,0,293,133,10525,742.2531646,377.4689143,26,1387,773,58638,286.7591505,167.6955322,20.28411772,133.8461538,588.4615385,5,0,80
NT,17,2,153.4002696,841.3557161,41,153.8375,77.6430397,0,373,159,12307,652.25,426.1398564,0,1546,746,52180,285.9488258,169.906649,20.30742975,146.72,568.56,5,0,80
