"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","116.82484210870007","666.6153530106365","364.6226752582602","0","96.1006289308176","63.50433005953853","0.0","320.0","80.0","15280.0","513.7358490566038","325.71798885488846","53.0","1386.0","480.0","81684.0","369.9559748427673","33.93317071590579","294.0","459.0","367.0","58823.0","339.24786329233933","302.3937815257335","5.20900316384945","88.36734693877551","464.44897959183675","373.55102040816325","5.0","0","107"
"PSM","1","2","62.159639391517935","600.9254378007442","366.9661307738515","1","59.87096774193548","54.582085172560625","0.0","240.0","40.0","9280.0","467.49032258064517","279.74407059955627","0.0","1333.0","426.0","72461.0","366.81290322580645","36.87514685804333","274.0","533.0","363.0","56856.0","339.93258882475095","295.8888889678234","5.20900316384945","57.391304347826086","431.4130434782609","369.9130434782609","5.0","0","107"
"PSM","2","2","60.49093642055392","562.1419341275101","375.8601822212719","2","51.91489361702128","48.930196543020365","0.0","240.0","40.0","7320.0","446.27659574468083","271.43710416919214","0.0","1173.0","427.0","62925.0","379.6737588652482","48.0822949972085","270.0","538.0","378.0","53534.0","339.24786329233933","295.57163851361014","7.971029766700409","50.46511627906977","394.7906976744186","377.83720930232556","5.0","0","107"
"PSM","3","2","65.51348453043592","487.8369639915875","387.57649336992876","3","57.304964539007095","49.9839893312151","0.0","240.0","40.0","8080.0","418.63120567375887","270.68145251113157","0.0","1173.0","373.0","59027.0","392.9503546099291","29.282692655544306","325.0","457.0","391.0","55406.0","334.45478456545817","289.4091087219058","7.971029766700409","54.09090909090909","380.3636363636364","397.5681818181818","5.0","0","107"
"PSM","4","2","60.53914629802459","586.4390373739299","411.6478178072274","4","56.986301369863014","55.75030370121329","0.0","280.0","40.0","8320.0","455.0821917808219","349.9606974356488","0.0","1440.0","426.0","66442.0","410.4178082191781","29.041173351738482","326.0","478.0","409.0","59921.0","333.7700590330466","288.38202042328845","7.971029766700409","55.68181818181818","423.09090909090907","410.54545454545456","5.0","0","107"
"PSM","5","2","68.18371904771887","611.5140219697331","393.3992308315849","5","55.2112676056338","51.69081993012344","0.0","280.0","40.0","7840.0","473.1619718309859","346.7408261647561","0.0","1333.0","374.0","67189.0","391.4507042253521","27.619393295750935","333.0","470.0","389.0","55586.0","333.085333500635","290.778559786729","7.971029766700409","55.90909090909091","432.3636363636364","391.34090909090907","5.0","0","107"
"PSM","6","2","66.04927619381266","624.8579442703708","385.6429245635548","6","58.028169014084504","55.67432448223142","0.0","280.0","40.0","8240.0","487.7535211267606","385.14825710634176","0.0","1707.0","320.0","69261.0","382.9507042253521","25.635560260215872","321.0","447.0","383.0","54379.0","333.085333500635","290.778559786729","7.971029766700409","54.31818181818182","429.47727272727275","385.02272727272725","5.0","0","107"
"PSM","7","2","63.23562530813714","652.0651517146273","389.33367433867977","7","51.069182389937104","49.07487427156918","0.0","240.0","40.0","8120.0","415.1949685534591","335.9130666243199","0.0","1600.0","320.0","66016.0","388.0188679245283","25.96966869987332","322.0","466.0","389.0","61695.0","335.13951009786973","291.8056480853464","9.549330682615242","51.16279069767442","403.74418604651163","390.6744186046512","5.0","0","107"
