"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","65.56347094596767","563.7558516037291","436.3850707342032","0","55.483870967741936","50.83961984473594","0.0","200.0","40.0","8600.0","404.9290322580645","276.5596647698808","0.0","1227.0","373.0","62764.0","431.6967741935484","86.87813335046782","277.0","734.0","411.0","66913.0","227.23788257231834","195.3839576709448","9.052146661074616","54.666666666666664","371.64444444444445","427.97777777777776","5.0","0","96"
"PSM","1","2","68.23222616270662","548.1332647415104","408.79470930225295","1","57.03225806451613","50.74988572117372","0.0","320.0","40.0","8840.0","387.05806451612904","284.6346539285209","0.0","1333.0","320.0","59994.0","409.741935483871","84.0530783686271","292.0","866.0","390.0","63510.0","227.805893663413","195.3839576709448","9.052146661074616","54.69387755102041","341.265306122449","412.0612244897959","5.0","0","96"
"PSM","2","2","69.02255900009607","593.7889669248653","383.1817453473842","2","63.439490445859875","53.59766278625355","0.0","280.0","40.0","9960.0","379.0127388535032","305.7318665034048","0.0","1546.0","267.0","59505.0","386.50955414012736","44.792200819864995","297.0","514.0","384.0","60682.0","227.805893663413","193.67992439766084","9.052146661074616","59.375","335.5416666666667","388.0833333333333","5.0","0","96"
"PSM","3","2","71.41968565981745","574.1199462448112","390.84057327187855","3","64.25806451612904","47.69966085393297","0.0","160.0","80.0","9960.0","358.1161290322581","342.8302930067587","0.0","1600.0","266.0","55508.0","390.1290322580645","57.166617912929304","279.0","617.0","382.0","60470.0","227.805893663413","196.5199798531341","9.052146661074616","68.125","315.1041666666667","389.9375","5.0","0","96"
"PSM","4","2","74.26606782285039","563.4237902102037","420.18222866700694","4","70.45161290322581","58.746007717174564","0.0","240.0","80.0","10920.0","349.8322580645161","346.5723968024394","0.0","1387.0","213.0","54224.0","409.38709677419354","59.815884948447426","281.0","564.0","413.0","63455.0","225.24984375348706","194.2479354887555","9.052146661074616","71.04166666666667","308.125","404.8541666666667","5.0","0","96"
"PSM","5","2","94.62977455344955","504.08184145380693","418.83567165360574","5","86.11464968152866","68.56262046506636","0.0","280.0","80.0","13520.0","334.22929936305735","323.51009322445526","0.0","1387.0","213.0","52474.0","414.2738853503185","55.65514368664987","273.0","624.0","409.0","65041.0","223.54581048020313","191.9758911243769","9.052146661074616","82.55319148936171","302.7659574468085","413.1914893617021","5.0","0","96"
"PSM","6","2","100.87813727561038","458.30085381612383","426.8797599015336","6","78.45161290322581","72.05825507188639","0.0","400.0","80.0","12160.0","307.5290322580645","309.6845758014387","0.0","1333.0","213.0","47667.0","420.4193548387097","54.691801300114385","280.0","570.0","423.0","65165.0","223.26180493465577","191.9758911243769","9.052146661074616","72.70833333333333","276.3958333333333","424.3541666666667","5.0","0","96"
"PSM","7","2","107.0358807713965","462.51604735644946","435.6390711162558","7","101.6774193548387","81.31883182191832","0.0","360.0","80.0","15760.0","358.1225806451613","312.9943639898344","0.0","1227.0","213.0","55509.0","428.50967741935483","72.34516540645599","246.0","684.0","430.0","66419.0","223.82981602575043","191.9758911243769","9.052146661074616","95.20833333333333","317.0","430.1666666666667","5.0","0","96"
