"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","50.15993910351506","642.5419700577291","358.81876598198875","0","46.78048780487805","50.60986689292516","0.0","160.0","53.0","3836.0","515.829268292683","304.51575826880605","0.0","1635.0","497.0","42298.0","356.390243902439","41.063863570027145","254.0","461.0","352.0","29224.0","396.0505743863996","347.1079174825478","1.8573772660973629","44.03703703703704","425.22222222222223","360.51851851851853","5.0","0","126"
"PSM","1","2","61.01402930812454","707.1897895890795","362.89296775585245","1","50.94565217391305","49.38264235036498","0.0","160.0","53.0","4687.0","452.80434782608694","331.65781515669886","0.0","1565.0","426.0","41658.0","360.7173913043478","27.31594795902466","293.0","426.0","364.0","33186.0","397.0642570715362","344.24528628806684","4.929398575264518","52.5","384.0","359.26666666666665","5.0","0","126"
"PSM","2","2","59.63641158441991","550.9610037560778","346.62529984546524","2","46.84782608695652","46.69422035972319","0.0","213.0","53.0","4310.0","341.4673913043478","280.16260784957717","0.0","1138.0","284.0","31415.0","345.2717391304348","36.1733018119048","273.0","455.0","345.0","31765.0","397.5442872483983","341.6051203153253","4.929398575264518","43.724137931034484","298.48275862068965","348.8965517241379","5.0","0","126"
"PSM","3","2","47.00135687015391","497.45808764317263","326.1909104679337","3","48.10843373493976","45.385076533009624","0.0","160.0","53.0","3993.0","384.48192771084337","285.33900938912194","0.0","1351.0","285.0","31912.0","330.13253012048193","28.836702174501703","274.0","425.0","327.0","27401.0","398.7882355071637","342.10270035887896","7.442870555492188","51.07142857142857","330.0357142857143","335.7142857142857","5.0","0","126"
"PSM","4","2","58.43277364982347","506.94706527948813","323.99843878710743","4","58.433734939759034","56.92917996073767","0.0","160.0","53.0","4850.0","398.2530120481928","292.1923791335834","0.0","1422.0","355.0","33055.0","326.2048192771084","27.95194440470155","275.0","414.0","324.0","27075.0","398.7882355071637","342.10270035887896","7.442870555492188","56.285714285714285","326.35714285714283","328.89285714285717","5.0","0","126"
"PSM","5","2","49.27686585092883","438.6076215216901","320.5646160383289","5","45.76923076923077","54.20330250084403","0.0","213.0","53.0","3570.0","391.8205128205128","239.7375049133349","0.0","1066.0","355.0","30562.0","328.06410256410254","29.720053024541386","273.0","409.0","326.0","25589.0","398.3082053303016","340.66260982829266","7.442870555492188","45.21739130434783","350.1304347826087","330.60869565217394","5.0","0","126"
"PSM","6","2","59.17014153977619","628.7343645514529","319.92056474616277","6","50.97826086956522","50.02877814914168","0.0","160.0","53.0","4690.0","377.80434782608694","385.18787307404455","0.0","1707.0","284.0","34758.0","323.3695652173913","30.10119102141622","259.0","389.0","329.0","29750.0","401.47714905391643","335.364728016118","10.235617200189601","54.333333333333336","331.76666666666665","326.76666666666665","5.0","0","126"
"PSM","7","2","56.29318386382905","683.3841501060007","338.90740563026105","7","45.6530612244898","53.08039070250175","0.0","213.0","53.0","4474.0","353.1530612244898","362.6414079551979","0.0","2062.0","213.0","34609.0","338.6530612244898","31.85796507917453","258.0","459.0","336.0","33188.0","404.11731502665793","333.4446073086696","10.235617200189601","46.03225806451613","308.51612903225805","336.03225806451616","5.0","0","126"
