Label,ID,Spot N links,Spot center intensity,Spot center intensity,Spot frame,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot position,Spot position,Spot position,Spot quick mean,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,Center ch1,Center ch2, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,Mean ch2,Std ch2,Min ch2,Max ch2,Median ch2,Sum ch2,X,Y,Z,Mean ch1,Mean ch2, , , 
,,,(Counts),(Counts),,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(µm),(µm),(µm),(Counts),(Counts),(µm),,
PSM,0,1,72.16682566,994.9732415,41,65.90909091,43.87826324,0,213,53,5800,614.125,693.113114,0,2640,240,54043,125.7122491,414.659489,20.86438871,62.84615385,541.0384615,5,0,104
PSM,1,2,79.73113331,928.8457178,42,71.96296296,50.00036111,0,240,80,5829,632.9506173,509.9066067,26,1787,586,51269,122.3525087,413.2918108,20.23140899,66.41666667,542.5,5,0,104
PSM,2,2,65.18218863,749.9187893,43,65.46153846,44.06008068,0,160,53,5106,565.7435897,346.1198064,0,1200,613,44128,116.2894876,415.0921175,20.21956813,67.13043478,498.0434783,5,0,104
PSM,3,2,57.9021647,635.7680524,44,53.82142857,39.59255154,0,187,53,4521,462.3928571,296.0408234,0,1067,454,38841,111.7309882,416.6768556,20.54733714,51.625,420.5,5,0,104
PSM,4,2,58.41710074,714.6201889,45,61.63414634,33.09638457,0,133,53,5054,538.4634146,301.0275077,53,1119,560,44154,107.5705058,416.206086,20.50679888,57.88,472,5,0,104
PSM,5,2,57.76978009,676.8975201,46,59.13636364,47.22535405,0,213,53,5204,480.875,275.5623222,26,1094,454,42317,102.7799971,412.1744365,20.83282448,57.92307692,428.3461538,5,0,104
PSM,6,2,54.04790363,571.1546135,47,56.55813953,41.16097657,0,187,53,4864,411.2906977,232.331197,53,907,374,35371,100.0780065,411.6494253,21.12443054,54.03846154,356.8076923,5,0,104
NT,7,2,259.0174144,832.6555943,127,272.5822785,91.8805813,80,480,266,21534,575.7594937,492.1491908,26,1733,400,45485,363.539887,186.875145,39.76060518,289.4615385,461,5,4,91
NT,8,2,250.3833056,944.2377783,128,240.4875,79.32882914,80,453,240,19239,630.5875,505.8307791,0,1733,480,50447,360.8872109,188.1072556,39.71915033,239.48,519.68,5,4,91
NT,9,2,205.6019668,805.5651069,129,205.7848101,76.5787128,53,400,213,16257,544.4177215,434.9004486,0,1680,400,43009,360.2934741,187.5134284,39.70878661,222.0869565,482.9130435,5,4,91
NT,10,2,212.4899491,889.9120609,130,215.556962,80.45013535,53,400,213,17029,616.8860759,470.1415495,0,1840,507,48734,359.6997374,187.5134284,39.6984229,222.6521739,545.826087,5,4,91
NT,11,2,214.5914516,929.4552344,131,220.2926829,90.62478442,53,427,213,18064,625.195122,518.4714819,26,1813,480,51266,361.1840793,188.9979964,39.72433218,221.6923077,512.7692308,5,4,91
NT,12,2,211.8548936,1020.871948,132,220.575,87.02331639,27,427,213,17646,667.175,576.1980315,0,2027,427,53374,360.2934741,190.4825643,39.70878661,224.8846154,539.1923077,5,4,91
NT,13,2,200.0520412,867.0879967,133,212.5,80.78896066,26,427,187,15725,625.1351351,471.1796715,26,1920,507,46260,358.2153956,191.0763915,39.67251362,214.4347826,528.9565217,5,4,91
NT,14,2,190.7114183,489.1286976,134,186.5061728,98.08696695,26,507,186,15107,347.8395062,250.7258691,0,1067,293,28175,357.6216588,190.4825643,39.6621499,192.7777778,298.0740741,5,4,91
NT,15,2,202.3725731,571.9433975,135,187.2592593,77.88481524,53,400,187,15168,406.8148148,267.6540263,26,1120,373,32952,352.8717649,189.8887372,39.5792402,187.8695652,377.0869565,5,4,91
NT,16,2,165.119844,903.0610098,136,166.9036145,69.55917194,26,320,160,13853,647.8795181,457.8690141,80,1627,560,53774,353.76237,191.9671323,39.59478577,169.7083333,578.7916667,5,4,91
