"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," "
"","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(Counts)","(µm)","",""
"NT","0","1","122.91490833081916","1112.527395574169","0","120.13333333333334","67.06639173908867","0.0","347.0","107.0","9010.0","848.2","551.7412241063541","53.0","2240.0","853.0","63615.0","405.0342599358399","363.745666931929","0.05707754059269998","121.47826086956522","755.8260869565217","5.0","0","137"
"NT","1","2","114.28894564702905","980.7477090468109","1","109.38157894736842","51.51620252704014","26.0","266.0","107.0","8313.0","785.1842105263158","484.4837998124414","107.0","2080.0","800.0","59674.0","405.87479998217395","363.745666931929","0.05707754059269998","107.78260869565217","703.2173913043479","5.0","0","137"
"NT","2","2","105.93520862549244","693.199173905526","2","105.82894736842105","53.161236042287996","0.0","293.0","106.0","8043.0","569.7368421052631","356.0679099430726","0.0","1493.0","586.0","43300.0","408.3964201211763","363.46548691648434","0.05707754059269998","102.5","514.6818181818181","5.0","0","137"
"NT","3","2","110.7005043650421","622.9930633100354","3","106.20779220779221","52.36117928749608","0.0","240.0","107.0","8178.0","532.5454545454545","264.7881251041524","53.0","1067.0","587.0","41006.0","413.15948038373625","365.14656700915253","0.05707754059269998","101.3913043478261","481.7826086956522","5.0","0","137"
"NT","4","2","100.44359681279221","616.733288954551","4","96.02564102564102","43.206833982953476","26.0","214.0","107.0","7490.0","520.9358974358975","223.18726280649233","107.0","1067.0","534.0","40633.0","416.52164056907264","366.8276471018208","0.05707754059269998","93.4090909090909","529.0","5.0","0","137"
"NT","5","2","93.60834527729894","704.7529040088427","5","92.15789473684211","53.70687172211242","0.0","267.0","80.0","7004.0","599.1578947368421","299.9281715180744","53.0","1333.0","587.0","45536.0","414.0000204300704","366.8276471018208","0.05707754059269998","94.5","556.5833333333334","5.0","0","137"
"NT","6","2","92.74115569109742","767.4910757850677","6","96.75","54.71578078275651","0.0","240.0","106.0","7353.0","626.5526315789474","370.402390011614","53.0","1440.0","639.0","47618.0","417.6423606308515","367.66818714815486","0.05707754059269998","94.04545454545455","545.6363636363636","5.0","0","137"
"NT","7","2","104.83796964874885","816.89519078063","7","97.35616438356165","52.8888693034255","0.0","267.0","80.0","7107.0","663.931506849315","384.3914501002824","0.0","1494.0","640.0","48467.0","418.7630806926303","366.26728707093133","0.05707754059269998","100.04545454545455","617.5454545454545","5.0","0","137"
"NT","8","2","75.53333996387703","959.7656146070083","8","81.63636363636364","45.69893154656472","0.0","187.0","80.0","6286.0","778.3896103896104","474.48437819784283","0.0","1707.0","747.0","59936.0","421.2847008316326","366.26728707093133","0.05707754059269998","82.34782608695652","735.0434782608696","5.0","0","137"
"NT","9","2","81.34777171772934","1046.6918130261395","9","74.06410256410257","39.687198938370024","0.0","160.0","80.0","5777.0","823.8461538461538","527.6300129536137","0.0","2187.0","853.0","64260.0","423.5261409551902","364.86638699370786","0.05707754059269998","78.78260869565217","754.1304347826087","5.0","0","137"
"NT","10","2","82.63833082308429","889.9023745936713","10","80.1948051948052","48.66508500942651","0.0","213.0","80.0","6175.0","725.7402597402597","413.17373695632944","0.0","1600.0","693.0","55882.0","425.48740106330314","365.70692704004193","0.05707754059269998","83.0","621.7083333333334","5.0","0","137"
"NT","11","2","77.48201505874592","860.8299024036835","11","78.11688311688312","46.612335736248966","0.0","213.0","80.0","6015.0","667.6363636363636","481.907146250868","0.0","2080.0","640.0","51408.0","427.1684811559714","366.54746708637606","0.05707754059269998","80.0","613.4166666666666","5.0","0","137"
